base,sub,ctmt,motivo,pct_tecnica_modelo,pct_total_medido,pct_nao_tecnica_implicita,GWh_injetado,GWh_faturado,ucs,cobertura,viola_limite,medida_degenerada,faturado_maior_que_injetado,declarado_pct,razao_vs_declarado,se_kv_mt,se_trafos,se_km_MT,se_alimentadores,se_convergiu,se_nos_nan,se_veredicto,se_V_MT_min,se_V_MT_mediana,se_barras_criticas,se_perdas_trafos_pct
NEOENERGIA385,COR01,COR01_AL008,perda modelada absurda: 20.1%,20.06,6.038,-14.022,65.5726,61.6134,492,332.2,True,False,False,,,13.8,642,193.05,9,True,0,OK,0.214,0.776,5443,13.1
NEOENERGIA385,RIC03,RIC03_AL034,a investigar,14.728,5.271,-9.457,74.8276,70.8831,1334,279.4,True,False,False,,,13.8,1737,507.34,10,True,0,OK,0.059,0.694,13247,12.4
NEOENERGIA385,ARR01,ARR01_AL010,a investigar,13.658,9.852,-3.806,40.3385,36.3645,882,138.6,True,False,False,,,13.8,1372,404.57,10,True,0,OK,0.647,0.907,10039,9.0
NEOENERGIA385,COR01,COR01_AL007,a investigar,13.468,5.012,-8.456,43.1825,41.0181,300,268.7,True,False,False,,,13.8,642,193.05,9,True,0,OK,0.214,0.776,5443,13.1
NEOENERGIA385,COR01,COR01_AL011,medida quase sem perda: 2.87% total medido,11.392,2.87,-8.522,58.7799,57.0931,284,397.0,True,False,False,,,13.8,642,193.05,9,True,0,OK,0.214,0.776,5443,13.1
NEOENERGIA385,ARR02,ARR02_AL023,a investigar,10.828,5.047,-5.781,32.1216,30.5004,337,214.5,True,False,False,,,13.8,1280,339.61,10,True,0,OK,0.228,0.688,10780,14.5
NEOENERGIA385,ARR02,ARR02_AL025,no limite: modelo 1.11x o total medido,9.676,8.684,-0.992,22.4335,20.4855,4806,111.4,True,False,False,,,13.8,1280,339.61,10,True,0,OK,0.228,0.688,10780,14.5
NEOENERGIA385,TAT02,TAT02_AL019,a investigar,7.35,5.82,-1.53,28.7553,27.0819,5772,126.3,True,False,False,,,13.8,1554,450.93,8,True,0,OK,0.347,0.577,10926,13.6
NEOENERGIA385,VOT01,VOT01_AL006,no limite: modelo 1.18x o total medido,7.298,6.171,-1.127,10.796,10.1298,1008,118.3,True,False,False,,,13.8,2220,810.16,10,True,0,OK,0.06,0.847,14476,7.4
NEOENERGIA385,ATI01,ATI01_AL005,no limite: modelo 1.10x o total medido,6.873,6.272,-0.601,28.7013,26.9011,7703,109.6,True,False,False,,,13.8,2610,615.08,10,True,0,OK,0.059,0.745,19606,7.1
NEOENERGIA385,PSS01,PSS01_AL017,no limite: modelo 1.01x o total medido,6.564,6.527,-0.037,17.2281,16.1036,5840,100.6,True,False,False,,,13.8,1755,630.93,7,True,0,OK,0.053,0.827,14131,6.8
NEOENERGIA385,LIM03,LIM03_AL005,no limite: modelo 1.11x o total medido,6.247,5.628,-0.619,25.2743,23.8518,8548,111.0,True,False,False,,,13.8,1944,368.61,10,True,0,OK,0.186,0.892,12999,11.5
NEOENERGIA385,LEM01,LEM01_AL007,medida quase sem perda: 2.80% total medido,6.16,2.801,-3.359,44.9305,43.6718,656,219.9,True,False,False,,,13.8,2014,702.51,10,True,0,OK,0.059,0.693,17064,10.4
NEOENERGIA385,RIC03,RIC03_AL032,no limite: modelo 1.18x o total medido,6.064,5.16,-0.904,31.5742,29.9451,4558,117.5,True,False,False,,,13.8,1737,507.34,10,True,0,OK,0.059,0.694,13247,12.4
NEOENERGIA385,LIM02,LIM02_AL034,medida quase sem perda: 2.76% total medido,5.613,2.76,-2.853,25.5894,24.8832,189,203.4,True,False,False,,,13.8,543,210.22,6,True,0,OK,0.624,0.846,4342,9.1
NEOENERGIA385,LIM03,LIM03_AL011,a investigar,5.522,3.545,-1.977,31.9478,30.8153,7691,155.8,True,False,False,,,13.8,1944,368.61,10,True,0,OK,0.186,0.892,12999,11.5
NEOENERGIA385,CAV02,CAV02_AL005,no limite: modelo 1.09x o total medido,5.283,4.857,-0.426,23.9338,22.7713,6117,108.8,True,False,False,,,13.8,458,108.5,7,True,0,OK,0.954,0.968,0,30.3
NEOENERGIA385,TRL01,TRL01_AL021,modelo quebrado na SE: NAO_CONVERGE[C-API:500],4.907,2.636,-2.271,16.235,15.8071,3338,186.2,True,False,False,,,34.5,4879,6512.62,13,False,0,NAO_CONVERGE[C-API:500],0.515,0.909,18973,17.3
NEOENERGIA385,LEM01,LEM01_AL014,medida quase sem perda: 2.69% total medido,4.86,2.69,-2.17,21.5226,20.9437,6809,180.7,True,False,False,,,13.8,2014,702.51,10,True,0,OK,0.059,0.693,17064,10.4
NEOENERGIA385,MIR01,MIR01_AL008,modelo quebrado na SE: TENSAO_IMPLAUSIVEL[C-API:0.48],4.768,4.13,-0.638,5.8071,5.5672,1598,115.4,True,False,False,,,13.8,2528,1364.55,8,True,0,TENSAO_IMPLAUSIVEL[C-API:0.48],0.062,0.363,16309,6.3
NEOENERGIA385,ATI01,ATI01_AL007,no limite: modelo 1.00x o total medido,4.732,4.73,-0.002,19.7088,18.7766,3015,100.0,True,False,False,,,13.8,2610,615.08,10,True,0,OK,0.059,0.745,19606,7.1
NEOENERGIA385,RIC02,RIC02_AL012,modelo quebrado na SE: NAO_CONVERGE[C-API:500],4.528,3.603,-0.925,34.5248,33.2809,6564,125.7,True,False,False,,,34.5,2309,994.31,14,False,0,NAO_CONVERGE[C-API:500],0.759,0.965,4848,32.2
NEOENERGIA385,TAT02,TAT02_AL014,no limite: modelo 1.03x o total medido,4.363,4.221,-0.142,30.6246,29.3321,875,103.4,True,False,False,,,13.8,1554,450.93,8,True,0,OK,0.347,0.577,10926,13.6
NEOENERGIA385,RIC03,RIC03_AL031,no limite: modelo 1.02x o total medido,4.142,4.042,-0.1,23.1053,22.1714,4740,102.5,True,False,False,,,13.8,1737,507.34,10,True,0,OK,0.059,0.694,13247,12.4
NEOENERGIA385,RIC02,RIC02_AL007,modelo quebrado na SE: NAO_CONVERGE[C-API:500],3.62,3.404,-0.216,19.4957,18.8322,45,106.4,True,False,False,,,34.5,2309,994.31,14,False,0,NAO_CONVERGE[C-API:500],0.759,0.965,4848,32.2
NEOENERGIA385,LIM05,LIM05_AL045,medida quase sem perda: 2.19% total medido,3.604,2.192,-1.412,20.405,19.9576,2443,164.4,True,False,False,,,13.8,528,66.34,9,True,0,OK,0.996,1.006,0,74.1
NEOENERGIA385,SAP01,SAP01_AL006,medida quase sem perda: 2.49% total medido,3.555,2.489,-1.066,13.6493,13.3095,4181,142.8,True,False,False,,,13.8,590,191.42,4,True,0,OK,0.066,0.755,4472,10.5
NEOENERGIA385,LEM01,LEM01_AL008,no limite: modelo 1.12x o total medido,3.422,3.06,-0.362,26.6748,25.8586,5770,111.8,True,False,False,,,13.8,2014,702.51,10,True,0,OK,0.059,0.693,17064,10.4
NEOENERGIA385,PSS01,PSS01_AL022,no limite: modelo 1.14x o total medido,3.26,2.862,-0.398,18.3657,17.8402,3196,113.9,True,False,False,,,13.8,1755,630.93,7,True,0,OK,0.053,0.827,14131,6.8
NEOENERGIA385,LIM05,LIM05_AL044,no limite: modelo 1.05x o total medido,2.911,2.764,-0.147,6.1693,5.9988,1301,105.3,True,False,False,,,13.8,528,66.34,9,True,0,OK,0.996,1.006,0,74.1
